Sno.,Currency,Code,Unit,CSB,NCB,Selling
1,Indian Rupee,INR,100,160.00,160.00,160.15
2,US Dollar,USD,1,112.88,113.45,114.05
3,Euro,EUR,1,124.96,125.59,126.84
4,Pound Sterling,GBP,1,147.03,147.77,149.25
5,Swiss Franc,CHF,1,115.54,116.12,117.28
6,Australian Dollar,AUD,1,76.99,77.38,78.15
7,Canadian Dollar,CAD,1,86.10,86.54,87.40
8,Singapore Dollar,SGD,1,83.34,83.76,84.60
9,Japanese Yen,JPY,10,10.26,10.31,10.41
10,Chinese Yuan,CNY,1,16.25,16.33,16.50
11,Danish Krone,DKK,1,16.71,16.79,16.96
12,Hong Kong Dollar,HKD,1,14.50,14.57,14.72
13,Swedish Krona,SEK,1,11.84,11.90,12.02
14,Thai Baht,THB,1,3.71,3.73,3.77
15,UAE Dirham,AED,1,30.73,30.88,31.19
16,Malaysian Ringgit,MYR,1,27.59,27.72,28.00
17,Saudi Arab Riyal,SAR,1,30.01,30.16,30.47
18,Qatari Riyal,QAR,1,30.94,31.09,31.40
19,Korean Won,KRW,100,9.60,9.65,9.74
20,Kuwait Dinar,KWD,1,370.28,372.14,375.86
21,Bahrain Dinar,BHD,1,297.88,299.38,302.37
